origin,destination,operator,date,hour,month,day_of_week,scheduled_departure,mins_late,cancelled
Edinburgh Waverley,Glasgow Central,LNER,2024-04-27,21,4,Saturday,2145,3,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-03-09,8,3,Saturday,0815,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-05-11,7,5,Saturday,0700,8,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-12-01,7,12,Sunday,0730,10,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-05-13,19,5,Monday,1945,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-07-30,14,7,Tuesday,1445,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-06-06,15,6,Thursday,1545,6,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-08-16,18,8,Friday,1815,5,False
Birmingham New St,London Euston,Avanti West Coast,2024-11-10,17,11,Sunday,1700,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-03-15,12,3,Friday,1245,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-11-07,2,11,Thursday,0245,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-12-30,21,12,Monday,2100,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-01-06,7,1,Saturday,0730,3,False
Edinburgh Waverley,Glasgow Central,LNER,2024-12-23,7,12,Monday,0715,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-02-14,23,2,Wednesday,2345,2,False
London Waterloo,Southampton Central,South Western Railway,2024-01-08,17,1,Monday,1700,5,False
Edinburgh Waverley,Glasgow Central,LNER,2024-06-26,21,6,Wednesday,2130,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-10-21,0,10,Monday,0015,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-05-30,9,5,Thursday,0900,4,False
Edinburgh Waverley,Glasgow Central,LNER,2024-12-21,11,12,Saturday,1145,9,False
Birmingham New St,London Euston,Avanti West Coast,2024-12-14,12,12,Saturday,1200,2,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-12-12,17,12,Thursday,1730,3,False
Edinburgh Waverley,Glasgow Central,LNER,2024-12-24,18,12,Tuesday,1815,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-10-10,21,10,Thursday,2145,2,False
London Victoria,Gatwick Airport,Southern,2024-12-15,21,12,Sunday,2115,3,False
London Waterloo,Southampton Central,South Western Railway,2024-04-15,7,4,Monday,0715,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-02-10,17,2,Saturday,1745,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-09-03,9,9,Tuesday,0930,1,False
London Victoria,Gatwick Airport,Southern,2024-04-03,23,4,Wednesday,2330,0,False
London Kings Cross,Leeds,LNER,2024-09-26,18,9,Thursday,1845,1,False
Birmingham New St,London Euston,Avanti West Coast,2024-12-17,18,12,Tuesday,1845,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-18,0,12,Wednesday,0015,1,False
Birmingham New St,London Euston,Avanti West Coast,2024-04-05,14,4,Friday,1415,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-04-04,13,4,Thursday,1315,8,False
Birmingham New St,London Euston,Avanti West Coast,2024-05-23,11,5,Thursday,1115,3,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-04-30,14,4,Tuesday,1445,4,False
London Kings Cross,Leeds,LNER,2024-01-05,7,1,Friday,0745,6,False
Edinburgh Waverley,Glasgow Central,LNER,2024-06-10,18,6,Monday,1830,2,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-02-20,17,2,Tuesday,1700,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-06-20,8,6,Thursday,0830,3,False
London Victoria,Gatwick Airport,Southern,2024-01-11,10,1,Thursday,1030,3,False
London Waterloo,Southampton Central,South Western Railway,2024-03-30,22,3,Saturday,2230,5,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-10,9,2,Saturday,0930,2,False
London Kings Cross,Leeds,LNER,2024-08-03,16,8,Saturday,1645,0,False
London Kings Cross,Leeds,LNER,2024-04-26,8,4,Friday,0830,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-08-15,18,8,Thursday,1830,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-03-26,7,3,Tuesday,0700,4,False
London Victoria,Gatwick Airport,Southern,2024-04-17,7,4,Wednesday,0700,3,False
London Paddington,Cardiff Central,Great Western Railway,2024-01-28,1,1,Sunday,0145,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-11-12,7,11,Tuesday,0745,17,False
London Victoria,Gatwick Airport,Southern,2024-11-16,6,11,Saturday,0615,68,False
Birmingham New St,London Euston,Avanti West Coast,2024-08-27,22,8,Tuesday,2230,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-10-29,15,10,Tuesday,1545,0,False
London Victoria,Gatwick Airport,Southern,2024-09-03,14,9,Tuesday,1400,0,False
London Victoria,Gatwick Airport,Southern,2024-06-04,0,6,Tuesday,0015,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-09-01,8,9,Sunday,0845,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-07-10,7,7,Wednesday,0745,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-04-22,8,4,Monday,0845,1,False
London Victoria,Gatwick Airport,Southern,2024-11-28,17,11,Thursday,1730,0,False
London Kings Cross,Leeds,LNER,2024-05-28,6,5,Tuesday,0645,9,False
London Paddington,Cardiff Central,Great Western Railway,2024-06-13,1,6,Thursday,0100,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-05-17,6,5,Friday,0645,2,False
London Kings Cross,Leeds,LNER,2024-09-09,7,9,Monday,0745,2,False
Birmingham New St,London Euston,Avanti West Coast,2024-12-22,18,12,Sunday,1830,16,False
London Kings Cross,Leeds,LNER,2024-05-16,18,5,Thursday,1800,0,False
London Victoria,Gatwick Airport,Southern,2024-01-07,6,1,Sunday,0615,2,False
London Waterloo,Southampton Central,South Western Railway,2024-04-11,12,4,Thursday,1200,13,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-14,21,12,Saturday,2130,8,False
Edinburgh Waverley,Glasgow Central,LNER,2024-03-03,8,3,Sunday,0830,6,False
London Waterloo,Southampton Central,South Western Railway,2024-04-30,16,4,Tuesday,1630,56,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-01-05,22,1,Friday,2245,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-03-21,13,3,Thursday,1330,4,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-07-01,16,7,Monday,1600,10,False
Edinburgh Waverley,Glasgow Central,LNER,2024-08-12,17,8,Monday,1700,3,False
London Kings Cross,Leeds,LNER,2024-01-21,12,1,Sunday,1245,3,False
London Paddington,Cardiff Central,Great Western Railway,2024-10-17,7,10,Thursday,0730,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-02-05,14,2,Monday,1445,5,False
Birmingham New St,London Euston,Avanti West Coast,2024-01-01,18,1,Monday,1845,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-06-13,17,6,Thursday,1745,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-09,8,11,Saturday,0845,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-01-23,18,1,Tuesday,1815,2,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-04-08,5,4,Monday,0545,1,False
London Victoria,Gatwick Airport,Southern,2024-07-06,7,7,Saturday,0700,46,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-11-23,3,11,Saturday,0345,3,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-09-27,2,9,Friday,0200,1,False
London Waterloo,Southampton Central,South Western Railway,2024-02-19,5,2,Monday,0515,3,False
Edinburgh Waverley,Glasgow Central,LNER,2024-10-18,16,10,Friday,1615,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-12-11,12,12,Wednesday,1245,2,False
London Kings Cross,Leeds,LNER,2024-07-24,13,7,Wednesday,1315,3,False
Birmingham New St,London Euston,Avanti West Coast,2024-10-08,23,10,Tuesday,2330,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-11-07,8,11,Thursday,0815,1,False
London Victoria,Gatwick Airport,Southern,2024-08-19,11,8,Monday,1145,24,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-03-10,23,3,Sunday,2330,48,False
Birmingham New St,London Euston,Avanti West Coast,2024-12-19,18,12,Thursday,1815,18,False
London Kings Cross,Leeds,LNER,2024-05-15,9,5,Wednesday,0915,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-10-18,20,10,Friday,2000,6,False
London Kings Cross,Leeds,LNER,2024-12-19,17,12,Thursday,1700,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-01-29,20,1,Monday,2030,4,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-04-26,18,4,Friday,1800,5,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-09-25,2,9,Wednesday,0215,3,False
London Kings Cross,Leeds,LNER,2024-12-10,17,12,Tuesday,1745,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-04-23,11,4,Tuesday,1145,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-10-07,10,10,Monday,1000,1,False
London Kings Cross,Leeds,LNER,2024-09-03,14,9,Tuesday,1445,10,False
Edinburgh Waverley,Glasgow Central,LNER,2024-05-06,8,5,Monday,0830,7,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-12-09,10,12,Monday,1030,13,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-03-27,23,3,Wednesday,2345,0,False
London Waterloo,Southampton Central,South Western Railway,2024-12-16,9,12,Monday,0900,5,False
London Kings Cross,Leeds,LNER,2024-01-08,9,1,Monday,0900,11,False
Birmingham New St,London Euston,Avanti West Coast,2024-10-02,7,10,Wednesday,0730,0,False
London Kings Cross,Leeds,LNER,2024-07-11,15,7,Thursday,1500,0,False
London Waterloo,Southampton Central,South Western Railway,2024-01-28,12,1,Sunday,1200,5,False
Birmingham New St,London Euston,Avanti West Coast,2024-01-10,8,1,Wednesday,0845,3,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-09-05,19,9,Thursday,1900,7,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-30,1,12,Monday,0115,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-03-21,1,3,Thursday,0130,6,False
Edinburgh Waverley,Glasgow Central,LNER,2024-02-01,16,2,Thursday,1645,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-05-23,7,5,Thursday,0730,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-09-23,21,9,Monday,2115,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-11-05,9,11,Tuesday,0915,6,False
Edinburgh Waverley,Glasgow Central,LNER,2024-03-11,8,3,Monday,0815,4,False
London Kings Cross,Leeds,LNER,2024-06-11,3,6,Tuesday,0300,2,False
London Kings Cross,Leeds,LNER,2024-06-12,19,6,Wednesday,1945,1,False
London Victoria,Gatwick Airport,Southern,2024-04-06,5,4,Saturday,0515,62,False
London Waterloo,Southampton Central,South Western Railway,2024-04-28,17,4,Sunday,1730,1,False
London Kings Cross,Leeds,LNER,2024-11-05,12,11,Tuesday,1230,6,False
London Paddington,Cardiff Central,Great Western Railway,2024-03-24,7,3,Sunday,0700,2,False
London Victoria,Gatwick Airport,Southern,2024-04-23,17,4,Tuesday,1715,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-18,8,12,Wednesday,0845,2,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-06-09,10,6,Sunday,1000,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-09-22,14,9,Sunday,1400,5,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-05-29,11,5,Wednesday,1130,2,False
London Kings Cross,Leeds,LNER,2024-05-30,16,5,Thursday,1600,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-16,17,2,Friday,1700,9,False
Edinburgh Waverley,Glasgow Central,LNER,2024-07-20,10,7,Saturday,1045,79,False
London Waterloo,Southampton Central,South Western Railway,2024-02-16,8,2,Friday,0815,3,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-11-20,9,11,Wednesday,0945,9,False
London Kings Cross,Leeds,LNER,2024-10-08,9,10,Tuesday,0915,3,False
London Kings Cross,Leeds,LNER,2024-03-15,7,3,Friday,0700,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-11-16,7,11,Saturday,0715,0,True
London Victoria,Gatwick Airport,Southern,2024-08-22,13,8,Thursday,1345,0,True
London Paddington,Cardiff Central,Great Western Railway,2024-04-21,15,4,Sunday,1545,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-10-07,8,10,Monday,0815,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-03-15,19,3,Friday,1930,6,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-04-01,7,4,Monday,0730,3,False
Edinburgh Waverley,Glasgow Central,LNER,2024-08-21,18,8,Wednesday,1830,3,False
London Victoria,Gatwick Airport,Southern,2024-07-07,20,7,Sunday,2000,8,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-08-29,6,8,Thursday,0630,6,False
London Waterloo,Southampton Central,South Western Railway,2024-11-09,3,11,Saturday,0300,0,False
London Victoria,Gatwick Airport,Southern,2024-11-07,19,11,Thursday,1930,1,False
Birmingham New St,London Euston,Avanti West Coast,2024-11-10,14,11,Sunday,1445,1,False
London Waterloo,Southampton Central,South Western Railway,2024-04-09,0,4,Tuesday,0000,5,False
London Waterloo,Southampton Central,South Western Railway,2024-07-30,2,7,Tuesday,0230,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-12-19,8,12,Thursday,0800,3,False
Birmingham New St,London Euston,Avanti West Coast,2024-02-28,17,2,Wednesday,1730,5,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-04-09,9,4,Tuesday,0930,8,False
London Paddington,Cardiff Central,Great Western Railway,2024-11-26,6,11,Tuesday,0615,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-08-24,18,8,Saturday,1845,6,False
Edinburgh Waverley,Glasgow Central,LNER,2024-10-16,17,10,Wednesday,1730,0,True
Birmingham New St,London Euston,Avanti West Coast,2024-02-03,22,2,Saturday,2230,7,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-03-25,15,3,Monday,1545,0,False
London Victoria,Gatwick Airport,Southern,2024-12-29,1,12,Sunday,0145,2,False
Birmingham New St,London Euston,Avanti West Coast,2024-06-03,7,6,Monday,0730,6,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-02-17,11,2,Saturday,1100,0,False
London Kings Cross,Leeds,LNER,2024-06-23,20,6,Sunday,2030,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-12-12,23,12,Thursday,2315,5,False
Edinburgh Waverley,Glasgow Central,LNER,2024-01-03,8,1,Wednesday,0800,5,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-08-27,19,8,Tuesday,1900,4,False
London Victoria,Gatwick Airport,Southern,2024-10-22,18,10,Tuesday,1815,4,False
London Victoria,Gatwick Airport,Southern,2024-06-12,18,6,Wednesday,1800,3,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-11-14,14,11,Thursday,1400,1,False
Birmingham New St,London Euston,Avanti West Coast,2024-03-13,21,3,Wednesday,2130,1,False
London Victoria,Gatwick Airport,Southern,2024-10-03,11,10,Thursday,1115,26,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-08-06,10,8,Tuesday,1045,9,False
London Waterloo,Southampton Central,South Western Railway,2024-02-10,22,2,Saturday,2245,3,False
London Paddington,Cardiff Central,Great Western Railway,2024-08-21,8,8,Wednesday,0845,2,False
London Kings Cross,Leeds,LNER,2024-07-05,10,7,Friday,1030,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-01-16,3,1,Tuesday,0300,11,False
London Kings Cross,Leeds,LNER,2024-06-27,16,6,Thursday,1615,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-10-11,16,10,Friday,1630,3,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-11-13,8,11,Wednesday,0815,2,False
Birmingham New St,London Euston,Avanti West Coast,2024-12-21,15,12,Saturday,1545,3,False
London Waterloo,Southampton Central,South Western Railway,2024-12-05,17,12,Thursday,1745,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-02-19,18,2,Monday,1815,8,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-06-16,13,6,Sunday,1300,10,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-12-04,7,12,Wednesday,0730,3,False
London Waterloo,Southampton Central,South Western Railway,2024-12-14,19,12,Saturday,1930,4,False
London Victoria,Gatwick Airport,Southern,2024-06-25,23,6,Tuesday,2300,10,False
London Kings Cross,Leeds,LNER,2024-02-01,9,2,Thursday,0900,69,False
London Victoria,Gatwick Airport,Southern,2024-04-30,11,4,Tuesday,1145,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-08-10,14,8,Saturday,1415,3,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-08-01,7,8,Thursday,0715,3,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-09-06,17,9,Friday,1715,2,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-12-22,16,12,Sunday,1645,5,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-08-18,10,8,Sunday,1015,10,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-30,13,12,Monday,1345,10,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-10-17,12,10,Thursday,1230,2,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-09-26,23,9,Thursday,2330,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-08-29,16,8,Thursday,1600,16,False
London Victoria,Gatwick Airport,Southern,2024-06-24,14,6,Monday,1400,7,False
London Paddington,Cardiff Central,Great Western Railway,2024-08-03,9,8,Saturday,0930,0,False
London Victoria,Gatwick Airport,Southern,2024-02-01,16,2,Thursday,1615,10,False
London Victoria,Gatwick Airport,Southern,2024-05-26,12,5,Sunday,1215,8,False
London Victoria,Gatwick Airport,Southern,2024-03-08,16,3,Friday,1630,0,True
London Euston,Manchester Piccadilly,Avanti West Coast,2024-10-29,17,10,Tuesday,1745,3,False
London Waterloo,Southampton Central,South Western Railway,2024-04-02,18,4,Tuesday,1800,2,False
London Kings Cross,Leeds,LNER,2024-09-10,18,9,Tuesday,1845,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-04-17,15,4,Wednesday,1530,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-03-26,12,3,Tuesday,1245,6,False
Edinburgh Waverley,Glasgow Central,LNER,2024-07-13,17,7,Saturday,1745,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-05-27,20,5,Monday,2045,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-02-19,20,2,Monday,2030,2,False
London Victoria,Gatwick Airport,Southern,2024-05-18,8,5,Saturday,0800,3,False
London Paddington,Cardiff Central,Great Western Railway,2024-12-10,15,12,Tuesday,1515,10,False
London Kings Cross,Leeds,LNER,2024-10-07,0,10,Monday,0000,0,True
London Euston,Manchester Piccadilly,Avanti West Coast,2024-02-23,17,2,Friday,1730,1,False
London Waterloo,Southampton Central,South Western Railway,2024-01-13,16,1,Saturday,1600,5,False
London Waterloo,Southampton Central,South Western Railway,2024-12-28,21,12,Saturday,2100,2,False
London Kings Cross,Leeds,LNER,2024-12-22,7,12,Sunday,0730,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-08-06,17,8,Tuesday,1730,2,False
London Victoria,Gatwick Airport,Southern,2024-07-14,10,7,Sunday,1000,0,False
London Kings Cross,Leeds,LNER,2024-02-05,13,2,Monday,1315,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-03-14,14,3,Thursday,1445,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-22,1,2,Thursday,0100,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-09-11,7,9,Wednesday,0700,9,False
London Victoria,Gatwick Airport,Southern,2024-12-24,9,12,Tuesday,0945,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-08-11,10,8,Sunday,1000,0,True
London Paddington,Cardiff Central,Great Western Railway,2024-10-17,14,10,Thursday,1430,4,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-07-06,14,7,Saturday,1430,0,False
London Victoria,Gatwick Airport,Southern,2024-03-31,14,3,Sunday,1445,4,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-11-18,17,11,Monday,1745,0,False
London Waterloo,Southampton Central,South Western Railway,2024-01-19,7,1,Friday,0715,12,False
Edinburgh Waverley,Glasgow Central,LNER,2024-09-12,14,9,Thursday,1445,0,True
Birmingham New St,London Euston,Avanti West Coast,2024-06-21,18,6,Friday,1800,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-12-13,19,12,Friday,1915,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-03-13,12,3,Wednesday,1200,23,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-12-25,16,12,Wednesday,1600,2,False
London Victoria,Gatwick Airport,Southern,2024-08-21,16,8,Wednesday,1600,3,False
London Paddington,Cardiff Central,Great Western Railway,2024-02-02,18,2,Friday,1845,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-03-02,22,3,Saturday,2215,5,False
London Waterloo,Southampton Central,South Western Railway,2024-10-30,7,10,Wednesday,0700,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-12-22,9,12,Sunday,0915,9,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-02-21,18,2,Wednesday,1845,0,True
London Paddington,Cardiff Central,Great Western Railway,2024-01-04,0,1,Thursday,0000,0,False
London Victoria,Gatwick Airport,Southern,2024-12-21,18,12,Saturday,1845,0,False
London Victoria,Gatwick Airport,Southern,2024-08-18,10,8,Sunday,1015,2,False
London Kings Cross,Leeds,LNER,2024-11-09,21,11,Saturday,2130,0,True
London Waterloo,Southampton Central,South Western Railway,2024-03-01,23,3,Friday,2300,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-04-22,12,4,Monday,1215,5,False
London Kings Cross,Leeds,LNER,2024-09-11,7,9,Wednesday,0700,2,False
London Waterloo,Southampton Central,South Western Railway,2024-05-08,9,5,Wednesday,0945,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-03-21,18,3,Thursday,1845,2,False
London Waterloo,Southampton Central,South Western Railway,2024-10-30,15,10,Wednesday,1545,2,False
Birmingham New St,London Euston,Avanti West Coast,2024-02-26,8,2,Monday,0800,3,False
London Waterloo,Southampton Central,South Western Railway,2024-04-22,4,4,Monday,0445,0,False
London Waterloo,Southampton Central,South Western Railway,2024-04-01,10,4,Monday,1015,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-04-13,9,4,Saturday,0900,7,False
London Kings Cross,Leeds,LNER,2024-08-26,12,8,Monday,1215,11,False
London Victoria,Gatwick Airport,Southern,2024-11-22,21,11,Friday,2115,1,False
London Waterloo,Southampton Central,South Western Railway,2024-07-29,19,7,Monday,1945,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-05-22,0,5,Wednesday,0045,4,False
Birmingham New St,London Euston,Avanti West Coast,2024-10-23,7,10,Wednesday,0715,2,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-01-21,23,1,Sunday,2300,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-09-10,8,9,Tuesday,0800,0,False
London Waterloo,Southampton Central,South Western Railway,2024-07-02,8,7,Tuesday,0800,64,False
London Paddington,Cardiff Central,Great Western Railway,2024-08-20,12,8,Tuesday,1215,4,False
Birmingham New St,London Euston,Avanti West Coast,2024-12-26,16,12,Thursday,1600,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-05-31,11,5,Friday,1130,1,False
London Waterloo,Southampton Central,South Western Railway,2024-11-13,19,11,Wednesday,1900,1,False
Birmingham New St,London Euston,Avanti West Coast,2024-02-26,10,2,Monday,1045,4,False
London Kings Cross,Leeds,LNER,2024-12-26,3,12,Thursday,0315,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-28,12,11,Thursday,1215,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-05-16,13,5,Thursday,1345,6,False
Birmingham New St,London Euston,Avanti West Coast,2024-09-05,13,9,Thursday,1300,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-08-19,16,8,Monday,1600,4,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-07-19,20,7,Friday,2030,1,False
London Kings Cross,Leeds,LNER,2024-02-27,17,2,Tuesday,1745,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-08-01,22,8,Thursday,2215,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-04-06,3,4,Saturday,0315,5,False
Birmingham New St,London Euston,Avanti West Coast,2024-10-23,9,10,Wednesday,0930,7,False
Edinburgh Waverley,Glasgow Central,LNER,2024-08-15,12,8,Thursday,1215,7,False
London Victoria,Gatwick Airport,Southern,2024-09-04,9,9,Wednesday,0930,2,False
Birmingham New St,London Euston,Avanti West Coast,2024-08-21,21,8,Wednesday,2115,4,False
London Kings Cross,Leeds,LNER,2024-03-23,8,3,Saturday,0800,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-07-08,7,7,Monday,0700,1,False
London Kings Cross,Leeds,LNER,2024-08-17,14,8,Saturday,1415,9,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-09-12,18,9,Thursday,1845,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-06-18,16,6,Tuesday,1630,0,False
London Kings Cross,Leeds,LNER,2024-06-22,17,6,Saturday,1745,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-06-06,1,6,Thursday,0115,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-10-25,13,10,Friday,1330,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-09-19,10,9,Thursday,1045,3,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-07-22,7,7,Monday,0745,2,False
London Victoria,Gatwick Airport,Southern,2024-06-28,8,6,Friday,0845,8,False
London Paddington,Cardiff Central,Great Western Railway,2024-08-14,8,8,Wednesday,0845,6,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-04-16,8,4,Tuesday,0830,1,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-01-04,10,1,Thursday,1030,1,False
London Kings Cross,Leeds,LNER,2024-04-05,18,4,Friday,1830,1,False
London Victoria,Gatwick Airport,Southern,2024-09-09,14,9,Monday,1445,3,False
London Kings Cross,Leeds,LNER,2024-06-02,21,6,Sunday,2145,1,False
London Victoria,Gatwick Airport,Southern,2024-04-01,13,4,Monday,1315,58,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-10-24,12,10,Thursday,1245,2,False
London Paddington,Cardiff Central,Great Western Railway,2024-07-10,13,7,Wednesday,1300,3,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-06-12,12,6,Wednesday,1215,2,False
Birmingham New St,London Euston,Avanti West Coast,2024-11-21,20,11,Thursday,2030,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-04-09,18,4,Tuesday,1815,11,False
London Kings Cross,Leeds,LNER,2024-06-14,19,6,Friday,1930,5,False
Birmingham New St,London Euston,Avanti West Coast,2024-09-30,15,9,Monday,1515,86,False
London Paddington,Cardiff Central,Great Western Railway,2024-06-23,20,6,Sunday,2015,8,False
London Waterloo,Southampton Central,South Western Railway,2024-10-13,16,10,Sunday,1600,2,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-01-09,12,1,Tuesday,1230,8,False
